"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"397","","Jordan Leggett","NYJ","TE61","11","390","390","390.0","0.0","",""
"398","","Dalton Schultz","DAL","TE62","8","391","391","391.0","0.0","",""
"399","","Levine Toilolo","DET","TE63","6","393","393","393.0","0.0","",""
"400","","Shane Vereen","NO ","RB98","6","394","394","394.0","0.0","387.0","-13.0"
"401","","Jermaine Gresham","ARI","TE64","9","395","395","395.0","0.0","",""
"402","","Seth DeValve","CLE","TE65","11","398","398","398.0","0.0","419.0","+17.0"
"403","","Demetrius Harris","KC","TE66","12","399","399","399.0","0.0","",""
"404","","De'Angelo Henderson","NYJ","RB99","11","400","400","400.0","0.0","390.0","-14.0"
"405","","Logan Thomas","BUF","TE67","11","402","402","402.0","0.0","",""
"406","","Benny Cunningham","CHI","RB100","5","404","404","404.0","0.0","",""
"407","","Josh Hill","NO","TE68","6","405","405","405.0","0.0","",""
